,Sex,Single Year of Age,Administrative Counties,VALUE
5268,Male,61 years,Limerick City & County Council,1152
5269,Male,61 years,Tipperary County Council,1097
5270,Male,61 years,Waterford City & County Council,730
5271,Male,61 years,Galway City Council,360
5272,Male,61 years,Galway County Council,1142
5273,Male,61 years,Leitrim County Council,222
5274,Male,61 years,Mayo  County Council,876
5275,Male,61 years,Roscommon County Council,473
5276,Male,61 years,Sligo County Council,441
5277,Male,61 years,Cavan County Council,464
5278,Male,61 years,Donegal County Council,945
5279,Male,61 years,Monaghan County Council,384
5280,Male,62 years,Ireland,27116
5281,Male,62 years,Carlow County Council,333
5282,Male,62 years,Dublin City Council,2781
5283,Male,62 years,Dún Laoghaire Rathdown County Council,1188
5284,Male,62 years,Fingal County Council,1399
5285,Male,62 years,South Dublin County Council,1310
5286,Male,62 years,Kildare County Council,1126
5287,Male,62 years,Kilkenny County Council,645
5288,Male,62 years,Laois County Council,478
5289,Male,62 years,Longford County Council,266
5290,Male,62 years,Louth County Council,707
5291,Male,62 years,Meath County Council,1025
5292,Male,62 years,Offaly County Council,485
5293,Male,62 years,Westmeath County Council,534
5294,Male,62 years,Wexford County Council,962
5295,Male,62 years,Wicklow County Council,836
5296,Male,62 years,Clare County Council,754
5297,Male,62 years,Cork City Council,1120
5298,Male,62 years,Cork County Council,2048
5299,Male,62 years,Kerry County Council,1036
5300,Male,62 years,Limerick City & County Council,1115
5301,Male,62 years,Tipperary County Council,958
5302,Male,62 years,Waterford City & County Council,760
5303,Male,62 years,Galway City Council,333
5304,Male,62 years,Galway County Council,1122
5305,Male,62 years,Leitrim County Council,225
5306,Male,62 years,Mayo  County Council,902
5307,Male,62 years,Roscommon County Council,409
5308,Male,62 years,Sligo County Council,436
5309,Male,62 years,Cavan County Council,473
5310,Male,62 years,Donegal County Council,944
5311,Male,62 years,Monaghan County Council,406
5312,Male,63 years,Ireland,25884
5313,Male,63 years,Carlow County Council,326
5314,Male,63 years,Dublin City Council,2626
5315,Male,63 years,Dún Laoghaire Rathdown County Council,1109
5316,Male,63 years,Fingal County Council,1302
5317,Male,63 years,South Dublin County Council,1309
5318,Male,63 years,Kildare County Council,1115
5319,Male,63 years,Kilkenny County Council,574
5320,Male,63 years,Laois County Council,482
5321,Male,63 years,Longford County Council,226
5322,Male,63 years,Louth County Council,659
5323,Male,63 years,Meath County Council,979
5324,Male,63 years,Offaly County Council,432
5325,Male,63 years,Westmeath County Council,498
5326,Male,63 years,Wexford County Council,929
5327,Male,63 years,Wicklow County Council,825
5328,Male,63 years,Clare County Council,782
5329,Male,63 years,Cork City Council,1092
5330,Male,63 years,Cork County Council,1885
5331,Male,63 years,Kerry County Council,983
5332,Male,63 years,Limerick City & County Council,1149
5333,Male,63 years,Tipperary County Council,939
5334,Male,63 years,Waterford City & County Council,699
5335,Male,63 years,Galway City Council,328
5336,Male,63 years,Galway County Council,1031
5337,Male,63 years,Leitrim County Council,228
5338,Male,63 years,Mayo  County Council,890
5339,Male,63 years,Roscommon County Council,436
5340,Male,63 years,Sligo County Council,403
5341,Male,63 years,Cavan County Council,420
5342,Male,63 years,Donegal County Council,926
5343,Male,63 years,Monaghan County Council,302
5344,Male,64 years,Ireland,25127
5345,Male,64 years,Carlow County Council,287
5346,Male,64 years,Dublin City Council,2456
5347,Male,64 years,Dún Laoghaire Rathdown County Council,1092
5348,Male,64 years,Fingal County Council,1241
5349,Male,64 years,South Dublin County Council,1277
5350,Male,64 years,Kildare County Council,1031
5351,Male,64 years,Kilkenny County Council,593
5352,Male,64 years,Laois County Council,450
5353,Male,64 years,Longford County Council,216
5354,Male,64 years,Louth County Council,650
5355,Male,64 years,Meath County Council,933
5356,Male,64 years,Offaly County Council,406
5357,Male,64 years,Westmeath County Council,483
5358,Male,64 years,Wexford County Council,870
5359,Male,64 years,Wicklow County Council,760
5360,Male,64 years,Clare County Council,712
5361,Male,64 years,Cork City Council,1069
5362,Male,64 years,Cork County Council,1862
5363,Male,64 years,Kerry County Council,943
5364,Male,64 years,Limerick City & County Council,1132
5365,Male,64 years,Tipperary County Council,997
5366,Male,64 years,Waterford City & County Council,643
5367,Male,64 years,Galway City Council,321
5368,Male,64 years,Galway County Council,1096
5369,Male,64 years,Leitrim County Council,206
5370,Male,64 years,Mayo  County Council,874
5371,Male,64 years,Roscommon County Council,430
5372,Male,64 years,Sligo County Council,401
5373,Male,64 years,Cavan County Council,430
5374,Male,64 years,Donegal County Council,903
5375,Male,64 years,Monaghan County Council,363
5376,Male,65 years,Ireland,24900
5377,Male,65 years,Carlow County Council,322
5378,Male,65 years,Dublin City Council,2456
5379,Male,65 years,Dún Laoghaire Rathdown County Council,1033
5380,Male,65 years,Fingal County Council,1247
5381,Male,65 years,South Dublin County Council,1197
5382,Male,65 years,Kildare County Council,1073
5383,Male,65 years,Kilkenny County Council,511
5384,Male,65 years,Laois County Council,458
5385,Male,65 years,Longford County Council,214
5386,Male,65 years,Louth County Council,627
5387,Male,65 years,Meath County Council,893
5388,Male,65 years,Offaly County Council,470
5389,Male,65 years,Westmeath County Council,502
5390,Male,65 years,Wexford County Council,904
5391,Male,65 years,Wicklow County Council,728
5392,Male,65 years,Clare County Council,691
5393,Male,65 years,Cork City Council,1061
5394,Male,65 years,Cork County Council,1837
5395,Male,65 years,Kerry County Council,975
5396,Male,65 years,Limerick City & County Council,1051
5397,Male,65 years,Tipperary County Council,960
5398,Male,65 years,Waterford City & County Council,690
5399,Male,65 years,Galway City Council,303
5400,Male,65 years,Galway County Council,1055
5401,Male,65 years,Leitrim County Council,216
5402,Male,65 years,Mayo  County Council,853
5403,Male,65 years,Roscommon County Council,423
5404,Male,65 years,Sligo County Council,410
5405,Male,65 years,Cavan County Council,457
5406,Male,65 years,Donegal County Council,945
5407,Male,65 years,Monaghan County Council,338
5408,Male,66 years,Ireland,23759
5409,Male,66 years,Carlow County Council,283
5410,Male,66 years,Dublin City Council,2204
5411,Male,66 years,Dún Laoghaire Rathdown County Council,1027
5412,Male,66 years,Fingal County Council,1090
5413,Male,66 years,South Dublin County Council,1204
5414,Male,66 years,Kildare County Council,968
5415,Male,66 years,Kilkenny County Council,564
5416,Male,66 years,Laois County Council,404
5417,Male,66 years,Longford County Council,217
5418,Male,66 years,Louth County Council,658
5419,Male,66 years,Meath County Council,914
5420,Male,66 years,Offaly County Council,413
5421,Male,66 years,Westmeath County Council,473
5422,Male,66 years,Wexford County Council,817
5423,Male,66 years,Wicklow County Council,740
5424,Male,66 years,Clare County Council,647
5425,Male,66 years,Cork City Council,915
5426,Male,66 years,Cork County Council,1798
5427,Male,66 years,Kerry County Council,936
5428,Male,66 years,Limerick City & County Council,1093
5429,Male,66 years,Tipperary County Council,948
5430,Male,66 years,Waterford City & County Council,619
5431,Male,66 years,Galway City Council,288
5432,Male,66 years,Galway County Council,1034
5433,Male,66 years,Leitrim County Council,229
5434,Male,66 years,Mayo  County Council,866
5435,Male,66 years,Roscommon County Council,412
5436,Male,66 years,Sligo County Council,363
5437,Male,66 years,Cavan County Council,383
5438,Male,66 years,Donegal County Council,894
5439,Male,66 years,Monaghan County Council,358
5440,Male,67 years,Ireland,23627
5441,Male,67 years,Carlow County Council,271
5442,Male,67 years,Dublin City Council,2194
5443,Male,67 years,Dún Laoghaire Rathdown County Council,974
5444,Male,67 years,Fingal County Council,1075
5445,Male,67 years,South Dublin County Council,1228
5446,Male,67 years,Kildare County Council,1028
5447,Male,67 years,Kilkenny County Council,546
5448,Male,67 years,Laois County Council,401
5449,Male,67 years,Longford County Council,229
5450,Male,67 years,Louth County Council,630
5451,Male,67 years,Meath County Council,882
5452,Male,67 years,Offaly County Council,406
5453,Male,67 years,Westmeath County Council,457
5454,Male,67 years,Wexford County Council,894
5455,Male,67 years,Wicklow County Council,710
5456,Male,67 years,Clare County Council,672
5457,Male,67 years,Cork City Council,976
5458,Male,67 years,Cork County Council,1683
5459,Male,67 years,Kerry County Council,945
5460,Male,67 years,Limerick City & County Council,998
5461,Male,67 years,Tipperary County Council,908
5462,Male,67 years,Waterford City & County Council,692
5463,Male,67 years,Galway City Council,313
5464,Male,67 years,Galway County Council,1019
5465,Male,67 years,Leitrim County Council,194
5466,Male,67 years,Mayo  County Council,844
5467,Male,67 years,Roscommon County Council,419
5468,Male,67 years,Sligo County Council,390
5469,Male,67 years,Cavan County Council,419
5470,Male,67 years,Donegal County Council,905
5471,Male,67 years,Monaghan County Council,325
5472,Male,68 years,Ireland,22502
5473,Male,68 years,Carlow County Council,291
5474,Male,68 years,Dublin City Council,2065
5475,Male,68 years,Dún Laoghaire Rathdown County Council,970
5476,Male,68 years,Fingal County Council,1077
5477,Male,68 years,South Dublin County Council,1145
5478,Male,68 years,Kildare County Council,909
5479,Male,68 years,Kilkenny County Council,550
5480,Male,68 years,Laois County Council,368
5481,Male,68 years,Longford County Council,243
5482,Male,68 years,Louth County Council,591
5483,Male,68 years,Meath County Council,861
5484,Male,68 years,Offaly County Council,337
5485,Male,68 years,Westmeath County Council,421
5486,Male,68 years,Wexford County Council,785
5487,Male,68 years,Wicklow County Council,693
5488,Male,68 years,Clare County Council,637
5489,Male,68 years,Cork City Council,886
5490,Male,68 years,Cork County Council,1727
5491,Male,68 years,Kerry County Council,857
5492,Male,68 years,Limerick City & County Council,998
5493,Male,68 years,Tipperary County Council,915
5494,Male,68 years,Waterford City & County Council,618
5495,Male,68 years,Galway City Council,287
5496,Male,68 years,Galway County Council,926
5497,Male,68 years,Leitrim County Council,213
5498,Male,68 years,Mayo  County Council,803
5499,Male,68 years,Roscommon County Council,401
5500,Male,68 years,Sligo County Council,358
5501,Male,68 years,Cavan County Council,381
5502,Male,68 years,Donegal County Council,867
5503,Male,68 years,Monaghan County Council,322
5504,Male,69 years,Ireland,22594
5505,Male,69 years,Carlow County Council,276
5506,Male,69 years,Dublin City Council,2147
5507,Male,69 years,Dún Laoghaire Rathdown County Council,976
5508,Male,69 years,Fingal County Council,1127
5509,Male,69 years,South Dublin County Council,1154
5510,Male,69 years,Kildare County Council,947
5511,Male,69 years,Kilkenny County Council,490
5512,Male,69 years,Laois County Council,382
5513,Male,69 years,Longford County Council,212
5514,Male,69 years,Louth County Council,536
5515,Male,69 years,Meath County Council,788
5516,Male,69 years,Offaly County Council,409
5517,Male,69 years,Westmeath County Council,424
5518,Male,69 years,Wexford County Council,818
5519,Male,69 years,Wicklow County Council,653
5520,Male,69 years,Clare County Council,673
5521,Male,69 years,Cork City Council,888
5522,Male,69 years,Cork County Council,1713
5523,Male,69 years,Kerry County Council,834
5524,Male,69 years,Limerick City & County Council,1043
5525,Male,69 years,Tipperary County Council,875
5526,Male,69 years,Waterford City & County Council,578
5527,Male,69 years,Galway City Council,324
5528,Male,69 years,Galway County Council,990
5529,Male,69 years,Leitrim County Council,201
5530,Male,69 years,Mayo  County Council,791
5531,Male,69 years,Roscommon County Council,406
5532,Male,69 years,Sligo County Council,371
5533,Male,69 years,Cavan County Council,358
5534,Male,69 years,Donegal County Council,889
5535,Male,69 years,Monaghan County Council,321
5536,Male,70 years,Ireland,21253
5537,Male,70 years,Carlow County Council,277
5538,Male,70 years,Dublin City Council,1930
5539,Male,70 years,Dún Laoghaire Rathdown County Council,927
5540,Male,70 years,Fingal County Council,1031
5541,Male,70 years,South Dublin County Council,1148
5542,Male,70 years,Kildare County Council,845
5543,Male,70 years,Kilkenny County Council,471
5544,Male,70 years,Laois County Council,371
5545,Male,70 years,Longford County Council,244
5546,Male,70 years,Louth County Council,545
5547,Male,70 years,Meath County Council,726
5548,Male,70 years,Offaly County Council,369
5549,Male,70 years,Westmeath County Council,391
5550,Male,70 years,Wexford County Council,788
5551,Male,70 years,Wicklow County Council,634
5552,Male,70 years,Clare County Council,604
5553,Male,70 years,Cork City Council,890
5554,Male,70 years,Cork County Council,1607
5555,Male,70 years,Kerry County Council,881
5556,Male,70 years,Limerick City & County Council,960
5557,Male,70 years,Tipperary County Council,805
5558,Male,70 years,Waterford City & County Council,572
5559,Male,70 years,Galway City Council,262
5560,Male,70 years,Galway County Council,863
5561,Male,70 years,Leitrim County Council,191
5562,Male,70 years,Mayo  County Council,727
5563,Male,70 years,Roscommon County Council,395
5564,Male,70 years,Sligo County Council,333
5565,Male,70 years,Cavan County Council,348
5566,Male,70 years,Donegal County Council,837
5567,Male,70 years,Monaghan County Council,281
5568,Male,71 years,Ireland,20449
5569,Male,71 years,Carlow County Council,238
